Timestamp,Elapsed_Sec,Total_Sectors,Diff_Sectors,Diff_KB,Diff_MB
2026-02-26 14:20:57,213,17247866,80,40,0.03
2026-02-26 14:21:01,217,17247930,64,32,0.03
2026-02-26 14:21:02,218,17248010,80,40,0.03
2026-02-26 14:21:07,223,17248042,32,16,0.01
2026-02-26 14:21:11,227,17248050,8,4,0.00
2026-02-26 14:21:12,228,17248106,56,28,0.02
2026-02-26 14:21:16,232,17248154,48,24,0.02
2026-02-26 14:21:17,233,17248250,96,48,0.04
2026-02-26 14:21:22,238,17248266,16,8,0.00
2026-02-26 14:21:23,239,17248306,40,20,0.01
2026-02-26 14:21:27,243,17248314,8,4,0.00
2026-02-26 14:21:28,244,17248338,24,12,0.01
2026-02-26 14:21:31,247,17248482,144,72,0.07
2026-02-26 14:21:33,249,17248570,88,44,0.04
2026-02-26 14:21:39,255,17248594,24,12,0.01
2026-02-26 14:21:41,257,17248618,24,12,0.01
2026-02-26 14:21:46,262,17248898,280,140,0.13
2026-02-26 14:21:52,268,17249026,128,64,0.06
2026-02-26 14:21:57,273,17249090,64,32,0.03
2026-02-26 14:22:01,277,17249106,16,8,0.00
2026-02-26 14:22:02,278,17249202,96,48,0.04
2026-02-26 14:22:06,282,17249410,208,104,0.10
2026-02-26 14:22:07,283,17249434,24,12,0.01
2026-02-26 14:22:13,289,17249474,40,20,0.01
2026-02-26 14:22:17,293,17250426,952,476,0.46
2026-02-26 14:22:18,294,17250538,112,56,0.05
2026-02-26 14:22:23,299,17250578,40,20,0.01
2026-02-26 14:22:28,304,17250602,24,12,0.01
2026-02-26 14:22:32,308,17250722,120,60,0.05
2026-02-26 14:22:33,309,17250762,40,20,0.01
2026-02-26 14:22:38,314,17250794,32,16,0.01
2026-02-26 14:22:39,315,17250818,24,12,0.01
2026-02-26 14:22:43,319,17250858,40,20,0.01
2026-02-26 14:22:44,320,17250906,48,24,0.02
2026-02-26 14:22:49,325,17250938,32,16,0.01
2026-02-26 14:22:55,331,17250994,56,28,0.02
2026-02-26 14:23:01,337,17251042,48,24,0.02
2026-02-26 14:23:06,342,17251130,88,44,0.04
2026-02-26 14:23:10,346,17251154,24,12,0.01
2026-02-26 14:23:14,350,17251234,80,40,0.03
2026-02-26 14:23:16,352,17251290,56,28,0.02
2026-02-26 14:23:18,354,17251306,16,8,0.00
2026-02-26 14:23:22,358,17251378,72,36,0.03
2026-02-26 14:23:23,359,17251410,32,16,0.01
2026-02-26 14:23:29,365,17251466,56,28,0.02
2026-02-26 14:23:34,370,17251546,80,40,0.03
2026-02-26 14:23:40,376,17251570,24,12,0.01
2026-02-26 14:23:44,380,17251594,24,12,0.01
2026-02-26 14:23:46,382,17251658,64,32,0.03
2026-02-26 14:23:48,384,17251754,96,48,0.04
2026-02-26 14:23:53,389,17251810,56,28,0.02
2026-02-26 14:23:59,395,17251850,40,20,0.01
2026-02-26 14:24:01,397,17251858,8,4,0.00
2026-02-26 14:24:04,400,17251874,16,8,0.00
2026-02-26 14:24:05,401,17251962,88,44,0.04
2026-02-26 14:24:10,406,17251986,24,12,0.01
2026-02-26 14:24:14,410,17252026,40,20,0.01
2026-02-26 14:24:17,413,17252114,88,44,0.04
2026-02-26 14:24:19,415,17252122,8,4,0.00
2026-02-26 14:24:23,419,17252162,40,20,0.01
2026-02-26 14:24:24,420,17252258,96,48,0.04
2026-02-26 14:24:29,425,17252314,56,28,0.02
2026-02-26 14:24:34,430,17252362,48,24,0.02
2026-02-26 14:24:35,431,17252434,72,36,0.03
